Receiver           gz_p_th     gz_p_solution       dGz/gz_p_th
  495           38,1971           38,1971       1,59977e-14
  496           37,6517           37,6517       1,49085e-14
  497           37,1026           37,1026        1,3597e-14
  498           36,5504           36,5504       1,22472e-14
  499           35,9959           35,9959       1,08568e-14
  500           35,4397           35,4397       9,62369e-15
  501           34,8825           34,8825       7,94415e-15
  502           34,3249           34,3249       6,62416e-15
  503           33,7676           33,7676       5,05011e-15
  504           33,2112           33,2112       3,42315e-15
  505           32,6562           32,6562       2,17583e-15
  506           32,1032           32,1032       4,42662e-16
  507           31,5527           31,5527       1,35115e-15
  508           31,0052           31,0052       2,97919e-15
  509           30,4612           30,4612       4,66523e-15
  510           29,9211           29,9211         6,293e-15
  511           29,3854           29,3854       7,97945e-15
  512           28,8543           28,8543       9,60382e-15
  513           28,3283           28,3283       1,15379e-14
  514           27,8077           27,8077       1,31593e-14
  515           27,2928           27,2928       1,49696e-14
  516           26,7838           26,7838       1,67132e-14
  517            26,281            26,281       1,83847e-14
  518           25,7847           25,7847       2,01165e-14
  519           25,2949           25,2949       2,20509e-14
  520            24,812            24,812       2,36256e-14
  521           24,3359           24,3359       2,54016e-14
  522            23,867            23,867       2,69427e-14
  523           23,4052           23,4052       2,88404e-14
  524           22,9507           22,9507       3,04951e-14
  525           22,5036           22,5036       3,22061e-14
  526           22,0638           22,0638       3,39752e-14
  527           21,6316           21,6316       3,54753e-14
  528           21,2067           21,2067       3,73587e-14
  529           20,7894           20,7894       3,87922e-14
  530           20,3796           20,3796       4,02696e-14
  531           19,9772           19,9772       4,19699e-14
  532           19,5823           19,5823       4,33606e-14
  533           19,1948           19,1948       4,51614e-14
  534           18,8146           18,8146       4,64514e-14
  535           18,4419           18,4419       4,79684e-14
  536           18,0763           18,0763       4,97245e-14
  537            17,718            17,718       5,07301e-14
  538           17,3668           17,3668       5,25743e-14
  539           17,0227           17,0227       5,38458e-14
  540           16,6855           16,6855       5,51468e-14
  541           16,3552           16,3552       5,66949e-14
  542           16,0317           16,0317       5,78389e-14
  543           15,7149           15,7149        5,9231e-14
